Name: Gautam Singh
ID: CS21BTECH11018
keyword: pp
constant: 1
punctuator: :
keyword: integer_2
identifier: /12foo
punctuator: (
keyword: integer_2
identifier: /e4
punctuator: )
keyword: pp
constant: 2
punctuator: :
punctuator: [
keyword: pp
constant: 3
punctuator: :
keyword: return
identifier: /e4
operator: _2
keyword: pp
constant: 4
punctuator: :
punctuator: ]
keyword: pp
constant: 5
punctuator: :
keyword: pp
constant: 6
punctuator: :
keyword: integer_2
identifier: +r00t
punctuator: (
keyword: integer_2
identifier: *abcd1234
punctuator: )
keyword: pp
constant: 7
punctuator: :
punctuator: [
keyword: pp
constant: 8
punctuator: :
keyword: in case that
punctuator: [
identifier: *abcd1234
keyword: eq
constant: 0
punctuator: ]
keyword: pp
constant: 9
punctuator: :
keyword: do
punctuator: [
keyword: pp
constant: 10
punctuator: :
keyword: return
identifier: *abcd1234
operator: -
constant: 1
punctuator: ;
keyword: pp
constant: 11
punctuator: :
punctuator: ]
keyword: otherwise
keyword: in case that
punctuator: [
identifier: *abcd1234
keyword: lt
constant: 0
punctuator: ]
keyword: pp
constant: 12
punctuator: :
keyword: do
punctuator: [
keyword: pp
constant: 13
punctuator: :
keyword: return
identifier: *abcd1234
punctuator: ;
keyword: pp
constant: 14
punctuator: :
punctuator: ]
keyword: pp
constant: 15
punctuator: :
keyword: otherwise
keyword: pp
constant: 16
punctuator: :
punctuator: [
keyword: jump to
keyword: pp
constant: 18
punctuator: ;
punctuator: ]
keyword: pp
constant: 17
punctuator: :
keyword: pp
constant: 18
punctuator: :
keyword: return
identifier: /12foo
punctuator: (
identifier: *abcd1234
punctuator: )
punctuator: ;
keyword: pp
constant: 19
punctuator: :
punctuator: ]
