Name: Gautam Singh
ID: CS21BTECH11018
keyword: pp
constant: 1
punctuator: :
keyword: integer_2
identifier: D3CL
punctuator: (
keyword: integer_2
identifier: *x12
punctuator: )
keyword: pp
constant: 2
punctuator: :
punctuator: [
keyword: pp
constant: 3
punctuator: :
keyword: integer_2
identifier: -a
punctuator: ,
identifier: /a1
punctuator: ,
identifier: +a2c
punctuator: ;
keyword: pp
constant: 4
punctuator: :
keyword: character_1
identifier: +b
punctuator: ,
identifier: *z
punctuator: ,
identifier: -1g1iu3gh9813g91g3298g21913g389g1839g8g19tg
punctuator: ;
keyword: pp
constant: 5
punctuator: :
keyword: in case that
punctuator: [
identifier: *x12
keyword: and
constant: 1
keyword: eq
constant: 0
punctuator: ]
keyword: do
punctuator: [
keyword: return
constant: 3
punctuator: ;
punctuator: ]
keyword: pp
constant: 6
punctuator: :
keyword: otherwise
punctuator: [
keyword: return
constant: 2
punctuator: ;
punctuator: ]
keyword: pp
constant: 7
punctuator: :
punctuator: ]
keyword: pp
constant: 8
punctuator: :
keyword: pp
constant: 9
punctuator: :
keyword: null
identifier: M41N
punctuator: (
punctuator: )
punctuator: [
keyword: integer_2
identifier: -2ez
operator: =
constant: 42069
punctuator: ;
keyword: integer_2
identifier: -1aml33t
operator: =
identifier: D3CL
punctuator: (
identifier: -2ez
punctuator: )
punctuator: ;
identifier: -1aml33t
operator: =
identifier: -1aml33t
operator: +
identifier: -2ez
punctuator: ;
keyword: return
keyword: null
punctuator: ;
punctuator: ]
